word	concreteness	familiarity	imageability	age_of_acquisition	freq_zh	log_freq_zh	context_div_zh	freq_mn
棚顶	NA	NA	NA	NA	NA	NA	NA	3
老爷爷	NA	6.04	NA	NA	137.0	16628.0	33.0	4
风衣	5.75	NA	5.7	NA	54.0	12553.0	13.0	1
纸飞机	NA	NA	NA	NA	NA	NA	NA	1
面具	5.3	6.038462	5.2	11.75	1994.0	28254.0	304.0	3
修车厂	NA	NA	NA	NA	NA	NA	NA	1
削苹果	NA	NA	NA	NA	NA	NA	NA	1
滑雪手	NA	NA	NA	NA	NA	NA	NA	1
服装	5.4	5.962963	5.2	7.857142857142857	2713.0	2959.0	487.0	8
西装上衣	NA	NA	NA	NA	NA	NA	NA	4
牛背	NA	NA	NA	NA	NA	NA	NA	2
花洒	NA	NA	NA	NA	NA	NA	NA	1
甜甜圈女人	NA	NA	NA	NA	NA	NA	NA	1
喇嘛	3.8	4.037037	3.9	12.8	48.0	12041.0	13.0	2
航班	5.0	5.666667	4.6	12.818181818181818	2626.0	2945.0	365.0	6
匹萨	NA	NA	NA	NA	NA	NA	NA	6
短衫	NA	NA	NA	NA	NA	NA	NA	1
聚会	5.25	6.678571	5.15	11.25	6576.0	33436.0	1012.0	3
坐在桌子上的女孩	NA	NA	NA	NA	NA	NA	NA	1
杂技	5.5	5.84	5.3	10.954545454545455	241.0	19085.0	59.0	1
吉普车	NA	NA	NA	NA	218.0	18633.0	47.0	18
伞桶	NA	NA	NA	NA	NA	NA	NA	2
检查床	NA	NA	NA	NA	NA	NA	NA	1
公路	5.75	6.7	5.15	8.894736842105264	2808.0	29741.0	555.0	2
黑鸟	NA	NA	NA	NA	NA	NA	NA	1
人类	4.95	6.714286	5.85	9.545454545454545	11497.0	35862.0	1372.0	10
移动的	NA	NA	NA	NA	NA	NA	NA	1
接球	5.7	5.043478	4.95	9.55	42.0	21492.0	79.0	4
哭	NA	NA	NA	NA	11366.0	35813.0	1814.0	1
桥车	NA	NA	NA	NA	NA	NA	NA	1
人行横道	NA	NA	NA	NA	33.0	10414.0	10.0	1
床上桌	NA	NA	NA	NA	NA	NA	NA	2
河马	5.7	5.424242	5.6	7.888888888888889	206.0	18388.0	40.0	1
棒球运动员	NA	NA	NA	NA	NA	NA	NA	8
覆盖	4.65	6.352941	4.45	12.5	647.0	23365.0	182.0	1
酸奶	5.8	6.576923	5.75	11.0	635.0	23284.0	116.0	1
婚礼服	NA	NA	NA	NA	NA	NA	NA	1
球员	5.55	5.407407	5.55	10.26086956521739	1705.0	27574.0	218.0	56
床梯	NA	NA	NA	NA	NA	NA	NA	1
手提箱	NA	NA	NA	NA	432.0	21614.0	103.0	1
行李架	NA	NA	NA	NA	15.0	699.0	5.0	1
黄色出租车	NA	NA	NA	NA	NA	NA	NA	1
奔驰	4.85	5.925926	4.95	12.0	462.0	21903.0	95.0	1
电脑设备	NA	NA	NA	NA	NA	NA	NA	1
面包片	NA	NA	NA	NA	8.0	14314.0	24.0	4
朋友们	NA	NA	NA	NA	NA	NA	NA	1
铁路设施	NA	NA	NA	NA	NA	NA	NA	1
自行车	NA	6.244898	NA	NA	2099.0	28476.0	382.0	5
烤面包薯块	NA	NA	NA	NA	NA	NA	NA	1
床	NA	NA	NA	NA	19391.0	38132.0	2771.0	460
鸡汉堡	NA	NA	NA	NA	NA	NA	NA	1
餐台	NA	NA	NA	NA	NA	NA	NA	1
大篷车	NA	NA	NA	NA	57.0	12788.0	13.0	1
雨伞	5.8	6.481481	5.5	6.0	206.0	18388.0	58.0	18
颚	NA	NA	NA	NA	63.0	13222.0	15.0	2
警察车	NA	NA	NA	NA	NA	NA	NA	1
水管	5.85	6.384615	5.55	8.285714285714286	918.0	24886.0	209.0	1
青年人	NA	NA	NA	NA	45.0	11761.0	13.0	1
雪糕	6.05	6.757576	5.4	7.761904761904762	176.0	17709.0	41.0	2
烤肠	NA	NA	NA	NA	NA	NA	NA	3
村	NA	NA	NA	NA	1553.0	27168.0	251.0	1
车头	NA	5.24	NA	8.0	247.0	19191.0	41.0	16
起居室	NA	5.5	NA	13.681818181818182	322.0	20334.0	84.0	1
连廊	NA	NA	NA	NA	NA	NA	NA	1
咖啡	5.85	6.875	5.95	10.421052631578947	12505.0	36227.0	1928.0	21
老年人	NA	NA	NA	NA	31.0	2017.0	87.0	1
柱子	5.9	6.0	5.85	7.444444444444445	289.0	19868.0	67.0	8
派对	4.85	5.947368	4.8	14.1578947	12612.0	36264.0	1325.0	2
歼击机	NA	NA	NA	NA	6.0	301.0	1.0	1
滑滑板	NA	NA	NA	NA	NA	NA	NA	1
黑人	5.65	5.846154	5.0	NA	6179.0	33166.0	722.0	3
结	NA	NA	NA	NA	485.0	32114.0	1069.0	1
新郎	5.9	5.92	5.8	11.2	933.0	24955.0	166.0	1
棒球手套	NA	NA	NA	NA	NA	NA	NA	3
梨	NA	NA	NA	NA	498.0	22227.0	77.0	1
校车	5.85	5.78	4.7	9.578947368421053	NA	NA	NA	11
斗牛士	NA	NA	NA	NA	NA	NA	NA	1
会议桌	NA	NA	NA	NA	3.0	1.0	9.0	7
雪服	NA	NA	NA	NA	NA	NA	NA	1
网	NA	NA	NA	NA	3.0	0.0	1.0	1
交通	5.05	6.36	5.15	9.363636363636363	2859.0	29818.0	670.0	1
遮布	NA	NA	NA	NA	NA	NA	NA	1
空缺	5.0	6.333333	3.65	12.85	396.0	21239.0	112.0	1
巧克力蛋糕	NA	NA	NA	NA	NA	NA	NA	1
塔台	NA	NA	NA	NA	134.0	16532.0	27.0	1
商贩	5.45	6.6	4.95	10.142857142857142	24.0	9031.0	8.0	1
塑料刀	NA	NA	NA	NA	NA	NA	NA	2
表演人	NA	NA	NA	NA	NA	NA	NA	1
街灯	5.8	4.96	5.65	9.24	42.0	11461.0	12.0	1
剃毛	NA	NA	NA	NA	NA	NA	NA	1
火车	6.15	6.588235	5.6	7.647058823529412	457.0	31855.0	637.0	9
車	NA	NA	NA	NA	NA	NA	NA	1
浴帘	NA	NA	NA	NA	NA	NA	NA	1
天桥	5.55	5.52381	5.9	10.4	215.0	18573.0	45.0	17
母亲	6.05	6.939394	5.4	4.590909090909091	18467.0	3792.0	2364.0	4
酒桌	NA	NA	NA	NA	NA	NA	NA	2
汽车尾部	NA	NA	NA	NA	NA	NA	NA	1
门柱	5.35	4.807692	5.2	10.590909090909092	6.0	1301.0	13.0	1
路灯	5.9	6.393939	5.5	8.63157895	14.0	16721.0	40.0	5
一家子	NA	NA	NA	NA	253.0	19294.0	73.0	1
母女	5.4	6.36	5.4	6.7894736842105265	325.0	20374.0	70.0	2
微波	NA	5.0	NA	14.526315789473685	2.0	18261.0	41.0	1
杯子蛋糕	NA	NA	NA	NA	NA	NA	NA	7
热狗面包	NA	NA	NA	NA	NA	NA	NA	2
多士	NA	NA	NA	NA	NA	NA	NA	1
吉普	NA	NA	NA	NA	638.0	23304.0	108.0	2
滤水壶	NA	NA	NA	NA	NA	NA	NA	1
亚洲男子羽毛球运动员	NA	NA	NA	NA	NA	NA	NA	1
糊糊	NA	NA	NA	NA	21.0	8451.0	6.0	1
游泳衣	NA	NA	NA	NA	11.0	15682.0	32.0	1
紫罗兰花	NA	NA	NA	NA	NA	NA	NA	1
步道	NA	5.434783	NA	15.1875	NA	NA	NA	2
猫床	NA	NA	NA	NA	NA	NA	NA	1
坐着	NA	NA	NA	NA	NA	NA	NA	1
黄油	NA	NA	NA	NA	864.0	24624.0	205.0	1
布丁	6.25	5.434783	5.55	9.2	778.0	24166.0	147.0	3
婆婆	6.4	6.666667	5.7	11.05	513.0	22355.0	56.0	2
青菜	5.35	6.346154	5.75	6.0	6.0	1301.0	15.0	2
裁判	4.85	5.814815	5.3	10.578947368421053	118.0	25977.0	198.0	14
引擎	5.2	5.230769	4.7	12.772727272727273	2036.0	28344.0	302.0	4
帽衫	NA	NA	NA	NA	NA	NA	NA	2
