word	concreteness	familiarity	imageability	age_of_acquisition	freq_en	log_freq_en	context_div_en	freq_mn
rat	4.85	5.807	6.706	2.0	32.61	3.2212	941.0	3
coaches	NA	NA	NA	NA	1.75	1.9542	48.0	1
evening gown	4.81	NA	NA	NA	NA	NA	NA	1
hood	4.88	5.938	6.333	2.0	15.39	2.8954	475.0	364
wash room	NA	NA	NA	NA	NA	NA	NA	2
bul	NA	NA	NA	NA	NA	NA	NA	1
engine	4.86	5.75	6.2	2.0	31.88	3.2114	807.0	114
diaper cake	NA	NA	NA	NA	NA	NA	NA	5
glass	4.82	6.37	6.286	2.0	60.71	3.4909	1841.0	517
fritter	4.11	NA	NA	10.0	0.29	1.2041	14.0	2
wine cooler	4.96	NA	NA	NA	NA	NA	NA	3
ski jacket	4.89	NA	NA	NA	NA	NA	NA	19
loveseat	4.87	NA	NA	NA	0.06	0.6021	1.0	147
recliner	4.68	NA	NA	NA	0.18	1.0	6.0	58
fries	NA	NA	NA	NA	11.69	2.776	413.0	9
cook stove	NA	NA	NA	NA	NA	NA	NA	1
railroad track	5.0	NA	NA	NA	NA	NA	NA	3
fruit	4.81	NA	NA	2.0	21.73	3.0449	715.0	318
barbecue	4.52	NA	NA	4.0	8.94	2.6599	272.0	10
countertop	NA	NA	NA	NA	NA	NA	NA	1300
rocker	4.31	NA	NA	4.0	1.25	1.8129	57.0	4
ice cream	5.0	NA	NA	2.0	NA	NA	NA	4
fighter plane	NA	NA	NA	NA	NA	NA	NA	11
bathroom counter	NA	NA	NA	NA	NA	NA	NA	55
santa	NA	NA	NA	NA	NA	NA	NA	6
dirt bike	5.0	NA	NA	NA	NA	NA	NA	113
cadet	4.21	NA	NA	6.0	3.45	2.248	64.0	1
chocolate cake	5.0	NA	NA	NA	NA	NA	NA	5
boxberry	NA	NA	NA	NA	NA	NA	NA	1
armoire	4.52	NA	NA	NA	0.16	0.9542	8.0	48
umbrella hat	NA	NA	NA	NA	NA	NA	NA	9
glassware	4.59	NA	NA	2.0	0.14	0.9031	4.0	2
sub sandwich	NA	NA	NA	NA	NA	NA	NA	13
taco	4.93	NA	NA	NA	3.1	2.2014	106.0	15
runway	4.6	NA	NA	6.0	5.47	2.4472	132.0	28
bedroom	4.9	NA	NA	2.0	36.71	3.2725	1263.0	9
cowboy	4.72	5.0	6.667	2.0	18.98	2.9863	482.0	6
cheese pizza	NA	NA	NA	NA	NA	NA	NA	8
actress	4.54	5.846	6.576	2.0	16.02	2.9128	379.0	4
landing strip	4.72	NA	NA	NA	NA	NA	NA	4
flag	4.79	NA	NA	2.0	17.49	2.9509	497.0	15
stylist	4.08	NA	NA	6.0	0.86	1.6532	34.0	1
sash	4.67	NA	NA	6.0	1.14	1.7709	38.0	1
baler	NA	NA	NA	8.0	0.02	0.301	1.0	2
heifer	4.22	NA	NA	8.0	1.2	1.7924	41.0	2
bluebird	4.97	NA	NA	2.0	0.76	1.6021	26.0	3
fighter jet	NA	NA	NA	NA	NA	NA	NA	118
pusher	3.5	NA	NA	6.0	1.25	1.8129	49.0	1
outhouse	4.89	NA	NA	6.0	0.75	1.5911	33.0	40
mallard	4.27	NA	NA	10.0	NA	NA	NA	1
fish tank	4.93	NA	NA	NA	NA	NA	NA	27
bull head	NA	NA	NA	NA	NA	NA	NA	2
aqueducts	NA	NA	NA	NA	0.12	0.8451	4.0	3
lentil	4.48	NA	NA	14.0	0.22	1.0792	7.0	1
stuffed animals	NA	NA	NA	NA	NA	NA	NA	2
sidecar	4.82	NA	NA	10.0	0.59	1.4914	22.0	74
daisy	5.0	5.969	6.714	4.0	NA	NA	NA	1
market	4.7	5.844	6.182	2.0	36.24	3.2669	1189.0	3
bullock	NA	NA	NA	12.0	NA	NA	NA	4
stuffed animal	NA	NA	NA	NA	NA	NA	NA	59
juicer	4.48	NA	NA	NA	0.39	1.3222	11.0	28
train carriage	NA	NA	NA	NA	NA	NA	NA	8
nun	4.92	4.69	6.5	6.0	6.96	2.5514	175.0	6
lamppost	4.66	NA	NA	4.0	0.55	1.4624	26.0	33
steer	4.19	5.063	4.382	4.0	5.98	2.4857	237.0	50
toothbrush holder	NA	NA	NA	NA	NA	NA	NA	2
river	4.89	6.242	6.677	2.0	55.47	3.4518	1211.0	9
train car	NA	NA	NA	NA	NA	NA	NA	220
