word,concreteness,imageability,familiarity,age_of_acquisition,freq_zh,log_freq_zh,freq_mn
铁板烧,NA,NA,NA,NA,NA,NA,3
晚礼服,NA,NA,NA,NA,349,20682,2
男子,NA,5.000 ,6.045 ,2.000 ,1747,27679,11
公鸡,1.192308,NA,NA,NA,259,19395,3
渔港,NA,NA,NA,NA,6,301,1
刀具,NA,NA,NA,NA,89,14771,3
菜,NA,NA,NA,NA,5852,32929,50
快艇,NA,NA,NA,NA,146,16902,3
流浪汉,NA,NA,NA,NA,948,25024,3
公主,1.64,NA,NA,NA,3634,3086,8
杆子,NA,NA,NA,NA,185,17924,1
老板,NA,5.083 ,6.318 ,2.400 ,9983,35249,1
机尾,NA,NA,NA,NA,NA,NA,1
会议桌,NA,NA,NA,NA,3,1,7
小卖部,NA,NA,NA,NA,104,15441,1
屋子,1.515152,5.500 ,6.318 ,1.846 ,4775,32047,30
横幅,NA,NA,NA,NA,107,15563,1
货船,NA,NA,NA,NA,194,18129,1
岩石,1.346154,6.313 ,5.955 ,1.933 ,1058,25502,2
把手,2.115385,NA,NA,NA,435,21644,1
办公室,NA,NA,NA,NA,17534,37695,1
树木,NA,3.538 ,6.000 ,2.000 ,391,21173,2
吐司,NA,NA,NA,NA,NA,NA,6
夹克,NA,NA,NA,NA,1654,27443,47
母羊,NA,NA,NA,NA,NA,NA,1
男孩们,NA,NA,NA,NA,NA,NA,2
修车厂,NA,NA,NA,NA,NA,NA,1
粉,NA,NA,NA,NA,1601,273,1
玩水,NA,NA,NA,NA,NA,NA,1
冲浪者,NA,NA,NA,NA,NA,NA,27
滑雪玩家,NA,NA,NA,NA,NA,NA,1
花瓣,1.516129,NA,NA,NA,253,19294,9
炖肉,NA,NA,NA,NA,NA,NA,1
检查床,NA,NA,NA,NA,NA,NA,1
遮雨棚,NA,NA,NA,NA,NA,NA,1
小路,NA,NA,NA,NA,495,22201,4
临时搭建篷,NA,NA,NA,NA,NA,NA,1
房子,NA,4.100 ,5.955 ,1.467 ,24512,3915,560
种,NA,NA,NA,NA,3,0,1
车斗,NA,NA,NA,NA,9,4771,2
巧克力,NA,NA,NA,NA,5047,32287,2
浴室水龙头,NA,NA,NA,NA,NA,NA,1
棒球接球手,NA,NA,NA,NA,NA,NA,2
罗马时钟,NA,NA,NA,NA,NA,NA,1
人群,NA,6.000 ,5.636 ,3.067 ,1854,27938,10
烧烤摊,NA,NA,NA,NA,NA,NA,1
椅背,1.884615,NA,NA,NA,39,11139,2
乳白甜点,NA,NA,NA,NA,NA,NA,1
手提箱,NA,NA,NA,NA,432,21614,1
牛拆,NA,NA,NA,NA,NA,NA,1
烩面,NA,NA,NA,NA,NA,NA,1
食物餐车,NA,NA,NA,NA,NA,NA,1
孕妇,1.428571,NA,NA,NA,534,22529,5
商标牌,NA,NA,NA,NA,NA,NA,1
学步的儿童,NA,NA,NA,NA,NA,NA,1
小贩,NA,NA,NA,NA,164,17404,1
尾灯,1.777778,NA,NA,NA,149,1699,1
西装领带,NA,NA,NA,NA,NA,NA,5
巴士,1.357143,NA,NA,NA,1321,26464,64
猫脚,NA,NA,NA,NA,NA,NA,1
滑翔翼,NA,NA,NA,NA,NA,NA,2
帐,NA,NA,NA,NA,6036,33064,3
僧衣,NA,NA,NA,NA,NA,NA,1
夹子,NA,NA,NA,NA,238,19031,1
帽了,NA,NA,NA,NA,NA,NA,1
新郎,NA,NA,NA,NA,933,24955,1
烤蛋糕,NA,NA,NA,NA,NA,NA,1
驼鹿,NA,NA,NA,NA,14,16721,4
切蛋糕,NA,NA,NA,NA,NA,NA,1
滑板选手,NA,NA,NA,NA,NA,NA,2
划船队,NA,NA,NA,NA,NA,NA,1
接球员,NA,NA,NA,NA,NA,NA,3
烹饪,1.692308,NA,NA,NA,686,23617,1
烤肉架,NA,NA,NA,NA,NA,NA,3
工作,2.366667,3.500 ,6.045 ,2.636 ,89997,44799,1
鏡子,NA,NA,NA,NA,NA,NA,1
奶酪,NA,NA,NA,NA,2546,29315,5
路,NA,NA,NA,NA,20846,38447,18
猎鹰,NA,NA,NA,NA,247,19191,1
枕头,1.269231,3.667 ,6.591 ,2.455 ,1452,26875,4
奶奶,NA,3.769 ,6.476 ,1.067 ,5694,3281,1
滑雪者,NA,NA,NA,NA,NA,NA,25
